student_row_id,attendance,assignment_score,internal_marks,previous_semester_marks,study_hours,quiz_score,participation,assignment_completion,final_result
1,100.0,76.2,73.6,88.5,5.15,100.0,87.0,86.8,Average
2,75.9,65.8,56.5,60.2,2.39,38.6,66.0,57.3,Poor
3,50.1,60.9,51.0,71.9,2.26,57.7,25.0,65.7,Poor
4,89.0,90.0,84.3,79.5,3.09,86.2,100.0,100.0,Average
5,99.1,82.2,82.4,95.7,4.54,100.0,86.8,74.2,Good
6,65.9,65.4,51.0,50.1,3.05,49.4,68.7,76.0,Average
7,86.0,85.9,95.3,71.3,3.07,75.5,91.0,93.0,Good
8,67.5,42.6,36.7,23.4,1.29,68.5,46.6,54.7,Poor
9,100.0,76.4,68.1,75.6,4.28,93.0,59.7,100.0,Good
10,68.3,54.8,62.7,52.7,2.93,42.4,55.3,73.9,Average
11,91.5,81.6,56.3,76.0,2.37,88.4,84.4,81.5,Good
12,100.0,70.2,62.2,69.4,4.14,83.7,77.1,93.2,Good
13,75.6,74.0,78.6,96.7,3.48,83.5,79.8,100.0,Good
14,60.8,46.5,61.9,41.2,2.06,43.5,35.1,63.3,Poor
15,76.2,81.7,52.6,81.2,3.33,59.4,74.8,55.6,Average
16,69.2,73.6,77.4,77.4,1.68,59.7,38.1,59.5,Average
17,80.9,80.7,84.6,86.5,2.52,77.3,74.3,84.1,Good
18,63.0,57.5,68.7,64.0,2.69,67.4,68.3,84.4,Average
19,86.8,82.2,70.4,84.1,4.03,85.6,69.4,86.1,Good
20,94.4,86.9,75.0,89.8,2.69,87.8,87.1,87.2,Good
21,78.9,85.5,69.0,61.5,6.25,78.5,80.8,77.2,Good
22,60.1,63.3,46.5,41.4,0.31,26.7,51.7,63.1,Poor
23,75.9,29.9,58.9,58.7,0.5,46.4,37.1,57.6,Poor
24,65.3,57.6,45.2,35.3,1.78,44.2,12.8,66.0,Poor
25,74.9,52.4,63.9,29.1,2.09,44.1,75.7,80.1,Average
26,59.9,52.6,40.1,59.1,0.19,57.5,45.0,50.3,Poor
27,90.1,90.5,62.7,89.6,4.67,76.4,87.6,100.0,Good
28,84.9,78.2,75.5,99.8,4.73,85.7,92.4,92.1,Good
29,59.8,66.0,39.1,41.0,2.23,47.6,59.5,59.0,Average
30,79.3,64.5,61.0,58.1,3.6,55.1,60.6,70.7,Average
31,42.3,56.0,53.1,51.6,0.31,47.0,27.6,51.5,Poor
32,92.8,72.1,79.3,76.9,5.72,86.2,79.7,97.4,Good
33,88.1,81.7,81.2,75.4,3.4,75.0,79.6,85.1,Good
34,67.7,74.6,65.9,64.1,3.24,60.5,65.1,68.7,Average
35,92.6,76.1,66.1,45.4,4.16,100.0,99.9,85.9,Good
36,74.0,36.6,35.0,56.2,0.0,36.4,50.8,46.1,Poor
37,87.8,94.9,85.0,72.9,5.28,49.7,93.8,74.3,Good
38,48.9,46.4,56.5,49.5,1.48,30.9,31.6,80.2,Poor
39,55.5,53.4,79.5,82.4,2.19,48.4,87.2,90.7,Average
40,88.2,62.9,70.9,47.8,1.25,67.2,79.3,74.6,Average
41,65.4,73.3,70.5,82.3,2.11,69.4,61.3,86.8,Average
42,88.4,74.8,100.0,84.0,1.36,83.1,72.1,97.7,Good
43,54.0,52.7,36.1,49.2,1.61,46.3,29.7,57.9,Poor
44,44.3,68.6,34.2,49.6,1.91,37.2,54.1,37.8,Poor
45,89.9,68.3,80.9,81.2,2.96,82.7,80.7,79.7,Good
46,94.8,86.2,93.2,84.4,4.01,67.5,77.5,82.3,Good
47,59.6,41.4,48.8,36.4,1.36,59.6,50.6,49.2,Poor
48,79.0,73.6,78.6,79.6,6.37,70.0,91.8,88.1,Average
49,82.1,76.6,72.5,67.5,4.27,71.9,83.2,89.5,Good
50,73.6,50.7,40.8,27.7,0.96,40.0,55.5,61.5,Poor
51,71.5,68.1,68.7,69.1,2.91,63.0,57.4,68.0,Average
52,80.6,70.6,71.0,67.7,1.59,66.8,70.4,79.8,Average
53,99.3,72.2,76.9,72.2,6.23,83.2,92.4,76.6,Good
54,41.4,50.7,51.6,55.2,0.0,34.9,31.6,56.4,Poor
55,70.9,48.2,30.7,46.4,0.26,49.7,46.8,68.4,Poor
56,66.5,59.1,57.0,71.2,1.08,64.4,75.8,63.3,Average
57,84.5,71.9,96.8,73.5,5.9,97.7,92.0,86.1,Good
58,88.5,87.8,78.2,82.4,4.29,59.3,68.7,88.7,Good
59,88.7,60.0,89.1,80.8,5.6,49.1,100.0,88.7,Good
60,87.8,73.8,52.3,86.7,5.23,77.9,80.8,94.6,Average
61,72.0,98.5,86.2,76.4,4.59,68.6,100.0,91.2,Good
62,85.1,79.2,93.6,83.1,4.84,100.0,72.3,98.4,Good
63,73.8,68.4,81.7,73.8,2.51,72.4,46.6,75.2,Average
64,70.1,55.3,51.1,41.8,0.0,41.5,58.7,33.6,Poor
65,48.9,43.1,36.8,29.8,1.33,51.0,49.7,66.5,Poor
66,90.6,100.0,88.6,73.4,5.88,76.5,55.5,80.9,Good
67,63.8,48.0,49.7,35.5,0.67,38.5,54.1,78.5,Poor
68,59.1,52.3,46.0,46.5,3.35,58.2,52.4,56.6,Poor
69,85.9,89.7,99.3,89.4,3.82,68.8,100.0,90.5,Good
70,90.5,52.6,68.2,51.8,2.91,51.9,54.6,66.2,Average
71,71.8,63.1,65.5,57.9,2.16,71.1,54.3,49.1,Average
72,91.1,62.6,82.6,72.8,3.25,87.7,92.4,98.4,Good
73,82.0,58.8,54.0,62.9,3.25,63.5,39.5,59.6,Average
74,72.6,62.7,52.5,62.9,2.58,48.3,64.3,68.0,Average
75,76.7,63.9,88.0,71.8,2.93,48.0,43.3,73.8,Average
76,44.4,49.5,33.2,37.5,0.82,27.6,30.3,64.8,Poor
